#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
",214177844,34109.0,1535995.0,199.0,198776221.0,42580.0,13865628.0,15540.0,,,,,,Asia,,,,,,,2023-02-24
,"
North America
",124454659,13166.0,1609910.0,100.0,119688106.0,39469.0,3156643.0,7752.0,,,,,,North America,,,,,,,2023-02-24
,"
Europe
",246116716,51474.0,2016321.0,223.0,241707445.0,28487.0,2392950.0,6461.0,,,,,,Europe,,,,,,,2023-02-24
,"
South America
",67966089,15202.0,1350361.0,141.0,66204615.0,7649.0,411113.0,10195.0,,,,,,South America,,,,,,,2023-02-24
,"
Oceania
",13987191,2961.0,26076.0,16.0,13826284.0,2416.0,134831.0,64.0,,,,,,Australia/Oceania,,,,,,,2023-02-24
,"
Africa
",12791178,424.0,258576.0,,12074525.0,101.0,458077.0,547.0,,,,,,Africa,,,,,,,2023-02-24
,"

",721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,,2023-02-24
89.0,Venezuela,551957,3.0,5852.0,,545771.0,3.0,334.0,36.0,18859.0,200.0,3359014.0,"114,771",29266991.0,South America,53.0,5001.0,9.0,1.0,,11.0,2023-02-24
90.0,Egypt,515698,,24613.0,,442182.0,,48903.0,122.0,4858.0,232.0,3693367.0,"34,792",106156692.0,Africa,206.0,4313.0,29.0,,,461.0,2023-02-24
91.0,Libya,507171,,6437.0,,500733.0,,1.0,,72034.0,914.0,2483538.0,"352,738",7040745.0,Africa,14.0,1094.0,3.0,,,1.0,2023-02-24
92.0,Ethiopia,499948,45.0,7572.0,,487213.0,28.0,5163.0,,4138.0,63.0,5485654.0,"45,406",120812698.0,Africa,242.0,15955.0,22.0,4.0,,43.0,2023-02-24
93.0,Qatar,493724,,686.0,,492695.0,,343.0,21.0,165684.0,230.0,4065369.0,"1,364,257",2979915.0,Asia,6.0,4344.0,1.0,,,115.0,2023-02-24
94.0,Réunion,486588,,921.0,,418572.0,,67095.0,10.0,535854.0,1014.0,1603660.0,"1,766,027",908061.0,Africa,2.0,986.0,1.0,,,73888.0,2023-02-24
95.0,Honduras,471557,,11109.0,,,,,105.0,46135.0,1087.0,1626616.0,"159,141",10221247.0,North America,22.0,920.0,6.0,,,32081.0,2023-02-24
96.0,Armenia,446819,,8721.0,,435162.0,,2936.0,,150345.0,2934.0,3242901.0,"1,091,164",2971966.0,Asia,7.0,341.0,1.0,,,988.0,2023-02-24
97.0,Bosnia and Herzegovina,401575,,16278.0,,379084.0,,6213.0,,123588.0,5010.0,1884721.0,"580,036",3249317.0,Europe,8.0,200.0,2.0,,,1912.0,2023-02-24
98.0,Oman,399449,,4628.0,,384669.0,,10152.0,2.0,75028.0,869.0,25000000.0,"4,695,724",5323993.0,Asia,13.0,1150.0,0.0,,,1907.0,2023-02-24
99.0,North Macedonia,346852,,9662.0,,337068.0,,122.0,,166651.0,4642.0,2226216.0,"1,069,626",2081304.0,Europe,6.0,215.0,1.0,,,59.0,2023-02-24
100.0,Kenya,342900,,5688.0,,337183.0,,29.0,1.0,6100.0,101.0,3967062.0,"70,569",56215221.0,Africa,164.0,9883.0,14.0,,,5.0,2023-02-24
101.0,Zambia,342831,,4055.0,,338289.0,,487.0,,17608.0,208.0,3923997.0,"201,538",19470234.0,Africa,57.0,4802.0,5.0,,,25.0,2023-02-24
