#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
80,Bahrain,"706,013",+183,"1,548                                ",,"706,013","+4,066","-1,548",2,"395,751",868,"10,731,193","6,015,300","1,783,983 ",Asia,3,"1,152",0,103,,-867.72,2023-02-24 22:52:50.662038
81,Sri Lanka,"672,026",+1,"16,830                                ",,"655,194",+1,2,,"31,147",780,"6,486,117","300,619","21,575,842 ",Asia,32,"1,282",3,0.05,,0.09,2023-02-24 22:52:50.662038
82,Kuwait,"663,456",,"2,570                                ",,"660,237",,649,,"151,463",587,"8,455,743","1,930,391","4,380,326 ",Asia,7,"1,704",1,,,148,2023-02-24 22:52:50.662038
83,Dominican Republic,"660,533",,"4,384                                ",,"644,785",,"11,364",4,"59,742",397,"3,740,928","338,350","11,056,370 ",North America,17,"2,522",3,,,"1,028",2023-02-24 22:52:50.662038
84,Cyprus,"649,093","+2,062","1,305                                ",+8,"642,863","+1,497","4,925",60,"530,570","1,067","9,640,118","7,879,860","1,223,387 ",Asia,2,937,0,"1,685",7,"4,026",2023-02-24 22:52:50.662038
85,Myanmar,"633,906",+1,"19,490                                ",,"614,378",+3,38,,"11,478",353,"10,036,203","181,726","55,227,143 ",Asia,87,"2,834",6,0.02,,0.7,2023-02-24 22:52:50.662038
86,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,9,989,2,,,30,2023-02-24 22:52:50.662038
87,Estonia,"614,848",,"2,934                                ",,"524,990",,"86,924",1,"465,121","2,220","3,671,717","2,777,585","1,321,910 ",Europe,2,451,0,,,"65,756",2023-02-24 22:52:50.662038
88,Moldova,"603,750",,"11,974                                ",,"504,142",,"87,634",49,"150,442","2,984","3,216,305","801,437","4,013,171 ",Europe,7,335,1,,,"21,837",2023-02-24 22:52:50.662038
89,Venezuela,"551,957",+3,"5,852                                ",,"545,771",+3,334,36,"18,859",200,"3,359,014","114,771","29,266,991 ",South America,53,"5,001",9,0.1,,11,2023-02-24 22:52:50.662038
90,Egypt,"515,698",,"24,613                                ",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692 ",Africa,206,"4,313",29,,,461,2023-02-24 22:52:50.662038
91,Libya,"507,171",,"6,437                                ",,"500,733",,1,,"72,034",914,"2,483,538","352,738","7,040,745 ",Africa,14,"1,094",3,,,0.1,2023-02-24 22:52:50.662038
92,Ethiopia,"499,948",+45,"7,572                                ",,"487,213",+28,"5,163",,"4,138",63,"5,485,654","45,406","120,812,698 ",Africa,242,"15,955",22,0.4,,43,2023-02-24 22:52:50.662038
93,Qatar,"493,724",,686                                ,,"492,695",,343,21,"165,684",230,"4,065,369","1,364,257","2,979,915 ",Asia,6,"4,344",1,,,115,2023-02-24 22:52:50.662038
94,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,2,986,1,,,"73,888",2023-02-24 22:52:50.662038
95,Honduras,"471,557",,"11,109                                ",,N/A,N/A,N/A,105,"46,135","1,087","1,626,616","159,141","10,221,247 ",North America,22,920,6,,,"32,081",2023-02-24 22:52:50.662038
96,Armenia,"446,819",,"8,721                                ",,"435,162",,"2,936",,"150,345","2,934","3,242,901","1,091,164","2,971,966 ",Asia,7,341,1,,,988,2023-02-24 22:52:50.662038
97,Bosnia and Herzegovina,"401,575",,"16,278                                ",,"379,084",,"6,213",,"123,588","5,010","1,884,721","580,036","3,249,317 ",Europe,8,200,2,,,"1,912",2023-02-24 22:52:50.662038
98,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,13,"1,150",0,,,"1,907",2023-02-24 22:52:50.662038
99,North Macedonia,"346,852",,"9,662                                ",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304 ",Europe,6,215,1,,,59,2023-02-24 22:52:50.662038
100,Kenya,"342,900",,"5,688                                ",,"337,183",,29,1,"6,100",101,"3,967,062","70,569","56,215,221 ",Africa,164,"9,883",14,,,0.5,2023-02-24 22:52:50.662038
101,Zambia,"342,831",,"4,055                                ",,"338,289",,487,,"17,608",208,"3,923,997","201,538","19,470,234 ",Africa,57,"4,802",5,,,25,2023-02-24 22:52:50.662038
102,Albania,"334,356",+11,"3,596                                ",,"329,106",+5,"1,654",,"116,648","1,255","1,941,032","677,173","2,866,374 ",Europe,9,797,1,4,,577,2023-02-24 22:52:50.662038
103,Botswana,"329,662",,"2,801                                ",,"326,868",,-7,1,"135,043","1,147","2,026,898","830,300","2,441,162 ",Africa,7,872,1,,,-2.87,2023-02-24 22:52:50.662038
104,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,2,567,0,,,"11,883",2023-02-24 22:52:50.662038
105,Montenegro,"287,987",+96,"2,801                                ",+1,"284,359",+72,827,6,"458,615","4,461","2,714,023","4,322,037","627,950 ",Europe,2,224,0,153,2,"1,317",2023-02-24 22:52:50.662038
106,Brunei ,"277,992",,225                                ,,"243,601",,"34,166",,"624,097",505,"717,784","1,611,437","445,431 ",Asia,2,"1,980",1,,,"76,703",2023-02-24 22:52:50.662038
107,Algeria,"271,436",+4,"6,881                                ",,"182,788",,"81,767",,"5,985",152,"230,861","5,091","45,350,148 ",Africa,167,"6,591",196,0.09,,"1,803",2023-02-24 22:52:50.662038
108,Nigeria,"266,463",,"3,155                                ",,"259,850",,"3,458",11,"1,229",15,"5,708,974","26,339","216,746,934 ",Africa,813,"68,700",38,,,16,2023-02-24 22:52:50.662038
109,Zimbabwe,"263,921",,"5,663                                ",,"257,205",,"1,053",12,"17,214",369,"2,525,756","164,744","15,331,428 ",Africa,58,"2,707",6,,,69,2023-02-24 22:52:50.662038
110,Uzbekistan,"250,932",,"1,637                                ",,"241,486",,"7,809",23,"7,298",48,"1,377,915","40,077","34,382,084 ",Asia,137,"21,003",25,,,227,2023-02-24 22:52:50.662038
111,Mozambique,"233,098",,"2,242                                ",,"228,805",,"2,051",11,"7,044",68,"1,371,127","41,437","33,089,461 ",Africa,142,"14,759",24,,,62,2023-02-24 22:52:50.662038
112,Martinique,"229,807",,"1,098                                ",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087 ",North America,2,341,0,,,"611,101",2023-02-24 22:52:50.662038
113,Laos,"218,014",,758                                ,,N/A,N/A,N/A,,"29,142",101,"1,233,207","164,845","7,481,023 ",Asia,34,"9,869",6,,,"28,017",2023-02-24 22:52:50.662038
114,Afghanistan,"209,237",+18,"7,896                                ",,"190,573",+19,"10,768",45,"5,134",194,"1,198,562","29,409","40,754,388 ",Asia,195,"5,161",34,0.4,,264,2023-02-24 22:52:50.662038
115,Iceland,"208,999",,229                                ,,N/A,N/A,N/A,2,"605,105",663,"1,996,384","5,780,036","345,393 ",Europe,2,"1,508",0,,,"385,315",2023-02-24 22:52:50.662038
116,Kyrgyzstan,"206,633",,"2,991                                ",,"196,406",,"7,236",131,"30,711",445,"1,907,195","283,460","6,728,271 ",Asia,33,"2,250",4,,,"1,075",2023-02-24 22:52:50.662038
117,Guadeloupe,"201,852",,"1,010                                ",,N/A,N/A,N/A,19,"504,890","2,526","938,039","2,346,306","399,794 ",North America,2,396,0,,,"496,736",2023-02-24 22:52:50.662038
118,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,32,"1,549",3,,,"2,770",2023-02-24 22:52:50.662038
119,Trinidad and Tobago,"188,737",,"4,339                                ",,"184,363",,35,8,"134,181","3,085","895,520","636,663","1,406,585 ",North America,7,324,2,,,25,2023-02-24 22:52:50.662038
120,Maldives,"185,729",,311                                ,,"163,687",,"21,731",25,"343,316",575,"2,213,831","4,092,223","540,985 ",Asia,3,"1,740",0,,,"40,169",2023-02-24 22:52:50.662038
121,Ghana,"171,172",+5,"1,462                                ",,"169,697",+1,13,2,"5,284",45,"2,529,956","78,096","32,395,450 ",Africa,189,"22,158",13,0.2,,0.4,2023-02-24 22:52:50.662038
122,Namibia,"171,121",,"4,090                                ",,"166,689",,342,,"64,969","1,553","1,062,663","403,460","2,633,874 ",Africa,15,644,2,,,130,2023-02-24 22:52:50.662038
123,Uganda,"170,478",,"3,630                                ",,"100,431",,"66,417",3,"3,520",75,"3,012,408","62,198","48,432,863 ",Africa,284,"13,342",16,,,"1,371",2023-02-24 22:52:50.662038
124,Jamaica,"154,065",,"3,500                                ",,"102,393",,"48,172",,"51,611","1,172","1,183,986","396,633","2,985,094 ",North America,19,853,3,,,"16,138",2023-02-24 22:52:50.662038
125,Cambodia,"138,714",+1,"3,056                                ",,"135,650",+1,8,,"8,079",178,"3,091,420","180,062","17,168,639 ",Asia,124,"5,618",6,0.06,,0.5,2023-02-24 22:52:50.662038
