#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
67,Tunisia,"1,150,962",+169,"29,331                                ",+1,N/A,N/A,N/A,44,"95,542","2,435","5,002,248","415,240","12,046,656 ",Africa,10,411,2,14,0.08,965,2023-02-28
68,Cuba,"1,112,598",+5,"8,530                                ",,"1,103,977",+6,91,,"98,411",754,"14,317,478","1,266,400","11,305,652 ",North America,10,"1,325",1,0.4,,8,2023-02-28
69,Ecuador,"1,056,578",,"36,008                                ",,"1,020,570",,0,759,"58,331","1,988","3,082,403","170,173","18,113,361 ",South America,17,503,6,,,,2023-02-28
70,UAE,"1,051,998",+68,"2,349                                ",,"1,035,173",+99,"14,476",,"104,346",233,"199,223,391","19,760,726","10,081,785 ",Asia,10,"4,292",0,7,,"1,436",2023-02-28
71,Uruguay,"1,034,303",,"7,617                                ",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016 ",South America,3,459,1,,,143,2023-02-28
72,Panama,"1,031,273",,"8,604                                ",,"1,022,299",,370,16,"231,905","1,935","7,532,271","1,693,801","4,446,964 ",North America,4,517,1,,,83,2023-02-28
73,Mongolia,"1,007,896",,"2,179                                ",,"1,005,711",+2,6,192,"298,364",645,"4,030,048","1,193,000","3,378,078 ",Asia,3,"1,550",1,,,2,2023-02-28
74,Nepal,"1,001,145",+2,"12,020                                ",,"989,117",+2,8,,"33,122",398,"6,013,280","198,947","30,225,582 ",Asia,30,"2,515",5,0.07,,0.3,2023-02-28
75,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,9,"1,325",1,,,141,2023-02-28
76,Latvia,"975,999",+22,"6,241                                ",+2,"969,435",+33,323,13,"527,899","3,376","7,864,578","4,253,797","1,848,837 ",Europe,2,296,0,12,1,175,2023-02-28
